keyword,group,card_or_city,est_volume,est_kd,real_volume,real_kd,your_rank,notes
is goa safe for solo female travelers,destination-safety,goa-india,1500,25,,,,
is jaipur safe for women,destination-safety,jaipur-india,800,22,,,,
solo female travel rishikesh,destination-safety,rishikesh-india,400,18,,,,
is varanasi safe for women,destination-safety,varanasi-india,600,20,,,,
manali solo female travel,destination-safety,manali-india,700,22,,,,
is delhi safe for women tourists,destination-safety,delhi-india,1800,35,,,,
is mumbai safe for solo female,destination-safety,mumbai-india,900,28,,,,
agra safety for women,destination-safety,agra-india,500,18,,,,
udaipur solo female travel,destination-safety,udaipur-india,300,15,,,,
hampi solo travel safety,destination-safety,hampi-india,200,12,,,,
spiti valley solo female travel,destination-safety,spiti-valley-india,400,14,,,,
bangkok solo female travel,destination-safety,bangkok-thailand,1800,32,,,,
jaipur tourist scams,city-scams,jaipur-india,600,20,,,,
goa scams to avoid,city-scams,goa-india,1200,25,,,,
delhi tourist scams,city-scams,delhi-india,2400,40,,,,
mumbai taxi scams,city-scams,mumbai-india,800,28,,,,
varanasi tourist scams,city-scams,varanasi-india,400,18,,,,
agra tourist scams,city-scams,agra-india,700,22,,,,
bangkok scams 2026,city-scams,bangkok-thailand,1500,30,,,,
tokyo scams to avoid,city-scams,tokyo-japan,600,25,,,,
paris tourist scams,city-scams,paris-france,4000,45,,,,
dubai tourist scams,city-scams,dubai-uae,800,28,,,,
seoul scams,city-scams,seoul-south-korea,400,22,,,,
hanoi tourist scams,city-scams,hanoi-vietnam,700,24,,,,
solo female travel india,brand-category,-,8000,55,,,,
is india safe for women,brand-category,-,12000,62,,,,
women only travel india,brand-category,-,1500,30,,,,
solo travel safety tips women,brand-category,-,3500,50,,,,
safest places for solo female travel,brand-category,-,2800,48,,,,
foreign women in india safety,brand-category,-,1200,35,,,,
